Id | Prediction | Stock
105 | 680 | 34
106 | 236 | 26
107 | 445 | 22
108 | 419 | 29
109 | 295 | 39
110 | 201 | 22
111 | 471 | 28
112 | 531 | 35
113 | 612 | 32
114 | 393 | 33
115 | 21 | 26
116 | 565 | 31
117 | 352 | 27
118 | 268 | 27
119 | 399 | 25
120 | 605 | 36
121 | 659 | 26
122 | 443 | 21
123 | 230 | 22
124 | 752 | 28
125 | 705 | 31
126 | 444 | 35
127 | 294 | 33
128 | 568 | 39
129 | 544 | 26
130 | 798 | 36
131 | 565 | 34
132 | 223 | 27
133 | 342 | 33
134 | 519 | 30
135 | 660 | 24
136 | 530 | 23
137 | 306 | 39
138 | 87 | 35
139 | 318 | 36
140 | 864 | 37
141 | 546 | 25
142 | 271 | 21
143 | 325 | 38
144 | 315 | 30
145 | 271 | 30
146 | 465 | 31
147 | 332 | 32
148 | 430 | 35
149 | 503 | 23
150 | 455 | 20
151 | 346 | 30
152 | 442 | 29
153 | 578 | 20
154 | 506 | 31
155 | 294 | 31
156 | 466 | 21
157 | 256 | 23
158 | 163 | 36
159 | 424 | 21
160 | 293 | 34
161 | 647 | 22
162 | 228 | 39
163 | 399 | 21
164 | 390 | 36
165 | 373 | 35
166 | 303 | 34
167 | 541 | 28
168 | 359 | 39
169 | 626 | 32
170 | 703 | 29
171 | 384 | 39
172 | 183 | 31
173 | 166 | 37
174 | 314 | 24
175 | 266 | 35
176 | 291 | 34
177 | 620 | 22
178 | 529 | 21
179 | 826 | 32
180 | 614 | 31
181 | 851 | 25
182 | 415 | 38
183 | 149 | 25
184 | 589 | 30
185 | 456 | 23
186 | 339 | 36
187 | 618 | 20
188 | 337 | 28
189 | 225 | 34
190 | 733 | 21
191 | 736 | 39
192 | 119 | 38
193 | 41 | 34
194 | 437 | 22
195 | 108 | 27
196 | 735 | 32
197 | 236 | 35
198 | 651 | 36
199 | 388 | 35
200 | 547 | 20
201 | 211 | 27
202 | 394 | 24
203 | 374 | 25
204 | 837 | 25
205 | 270 | 31
206 | 228 | 21
207 | 242 | 31
208 | 429 | 23
209 | 551 | 25
210 | 594 | 20
211 | 311 | 32
212 | 648 | 35
213 | 520 | 31
214 | 530 | 38
215 | 611 | 38
216 | 435 | 31
217 | 107 | 33
218 | 429 | 31
219 | 311 | 37
220 | 448 | 30
221 | 204 | 39
222 | 149 | 31
223 | 722 | 26
224 | 157 | 37
225 | 517 | 36
226 | 425 | 36
227 | 57 | 34
228 | 385 | 28
229 | 484 | 21
230 | 427 | 33
231 | 315 | 27
232 | 370 | 33
233 | 713 | 38
234 | 280 | 33
235 | 315 | 38
236 | 69 | 27
237 | 708 | 30
238 | 536 | 33
239 | 205 | 21
240 | 316 | 33
241 | 557 | 35
242 | 797 | 22
243 | 415 | 31
244 | 316 | 27
245 | 776 | 24
246 | 413 | 23
247 | 271 | 30
248 | 471 | 34
249 | 259 | 37
250 | 391 | 20
251 | 349 | 39
252 | 768 | 23
253 | 273 | 21
254 | 679 | 25
255 | 425 | 35
256 | 230 | 21
257 | 608 | 22
258 | 652 | 25
259 | 576 | 36
260 | 68 | 27
261 | 308 | 34
262 | 401 | 31
263 | 479 | 33
264 | 266 | 33
265 | 121 | 38
266 | 675 | 23
267 | 363 | 28
268 | 735 | 22
269 | 506 | 29
270 | 75 | 34
271 | 401 | 30
272 | 252 | 36
273 | 656 | 35
274 | 469 | 34
275 | 438 | 30
276 | 309 | 39
277 | 374 | 28
278 | 86 | 33
279 | 560 | 38
280 | 134 | 31
281 | 383 | 34
282 | 154 | 32
283 | 331 | 38
284 | 326 | 29
285 | 165 | 38
286 | 675 | 37
287 | 460 | 37
288 | 205 | 32
289 | 441 | 33
290 | 620 | 20
291 | 756 | 22
292 | 178 | 29
293 | 656 | 37
294 | 164 | 26
295 | 661 | 22
296 | 632 | 34
297 | 388 | 35
298 | 464 | 21
299 | 72 | 26
300 | 352 | 33
301 | 351 | 23
302 | 322 | 38
303 | 763 | 35
304 | 363 | 29
305 | 241 | 39
306 | 234 | 35
307 | 657 | 38
308 | 263 | 27
309 | 532 | 27
310 | 336 | 27
311 | 382 | 34
312 | 764 | 34
313 | 186 | 27
314 | 256 | 25
315 | 99 | 28
316 | 309 | 32
317 | 351 | 37
318 | 483 | 27
319 | 534 | 30
320 | 283 | 24
321 | 733 | 27
322 | 538 | 29
323 | 388 | 33
324 | 630 | 35
325 | 651 | 32
326 | 303 | 24
327 | 198 | 38
328 | 443 | 38
329 | 113 | 28
330 | 766 | 30
331 | 142 | 37
332 | 333 | 35
333 | 499 | 31
334 | 634 | 30
335 | 198 | 36
336 | 291 | 35
337 | 186 | 26
338 | 478 | 20
339 | 258 | 27
340 | 275 | 29
341 | 453 | 33
342 | 483 | 37
343 | 467 | 31
344 | 469 | 20
345 | 93 | 38
346 | 563 | 27
347 | 430 | 25
348 | 348 | 32
349 | 712 | 30
350 | 635 | 29
351 | 572 | 29
352 | 155 | 23
353 | 814 | 23
354 | 139 | 35
355 | 328 | 30
356 | 352 | 28
357 | 135 | 32
358 | 738 | 35
359 | 206 | 20
360 | 458 | 39
361 | 684 | 28
362 | 187 | 24
363 | 61 | 22
364 | 378 | 33
365 | 544 | 30
366 | 524 | 35
367 | 722 | 34
368 | 510 | 38
369 | 373 | 29
370 | 331 | 38
371 | 378 | 39
372 | 487 | 25
373 | 380 | 36
374 | 405 | 25
375 | 134 | 37
376 | 255 | 35
377 | 219 | 28
378 | 772 | 37
379 | 627 | 20
380 | 518 | 37
381 | 634 | 38
382 | 470 | 32
383 | 231 | 24
384 | 459 | 38
385 | 0 | 22
386 | 296 | 38
387 | 282 | 37
388 | 289 | 36
389 | 507 | 27
390 | 417 | 33
391 | 178 | 20
392 | 304 | 24
393 | 107 | 25
394 | 235 | 24
395 | 545 | 38
396 | 490 | 29
397 | 780 | 26
398 | 279 | 37
399 | 503 | 38
400 | 606 | 29
401 | 536 | 31
402 | 18 | 25
403 | 478 | 28
404 | 352 | 22
405 | 272 | 22
406 | 535 | 35
407 | 412 | 30
408 | 213 | 24
409 | 630 | 31
410 | 336 | 21
411 | 240 | 35
412 | 416 | 30
413 | 119 | 26
414 | 610 | 35
415 | 323 | 38
416 | 431 | 34
417 | 518 | 30
418 | 343 | 26
419 | 216 | 34
420 | 713 | 38
421 | 440 | 25
422 | 281 | 20
423 | 522 | 35
424 | 147 | 38
425 | 141 | 21
426 | 582 | 29
427 | 313 | 39
428 | 713 | 34
429 | 600 | 35
430 | 464 | 23
431 | 579 | 27
432 | 363 | 23
433 | 451 | 33
434 | 173 | 28
435 | 576 | 38
436 | 173 | 36
437 | 239 | 32
438 | 306 | 38
439 | 568 | 37
440 | 669 | 23
441 | 430 | 38
442 | 509 | 38
443 | 479 | 22
444 | 115 | 36
445 | 385 | 36
446 | 770 | 33
447 | 523 | 20
448 | 287 | 35
449 | 267 | 35
450 | 469 | 22
451 | 413 | 34
452 | 46 | 39
453 | 508 | 30
454 | 522 | 34
455 | 502 | 33
456 | 502 | 34
457 | 511 | 29
458 | 308 | 25
459 | 354 | 39
460 | 626 | 27
461 | 273 | 32
462 | 641 | 26
463 | 144 | 36
464 | 742 | 22
465 | 107 | 33
466 | 206 | 20
467 | 208 | 36
468 | 298 | 39
469 | 538 | 35
470 | 354 | 36
471 | 269 | 21
472 | 337 | 30
473 | 339 | 31
474 | 459 | 29
475 | 151 | 34
476 | 217 | 22
477 | 504 | 31
478 | 608 | 26
479 | 100 | 20
480 | 587 | 38
481 | 621 | 26
482 | 413 | 33
483 | 125 | 33
484 | 408 | 24
485 | 121 | 29
486 | 298 | 30
487 | 741 | 23
488 | 184 | 31
489 | 560 | 21
490 | 709 | 37
491 | 557 | 31
492 | 239 | 35
493 | 825 | 29
494 | 166 | 21
495 | 643 | 28
496 | 136 | 23
497 | 216 | 28
498 | 241 | 31
499 | 465 | 23
500 | 51 | 30
